timestamp,vehicle_id,engine_rpm,coolant_temp,fuel_trim,dtc,latitude,longitude,tire_pressure
2025-07-27 18:13:05.899482,Vehicle_1,2847,97,3.254665124552517,,34.06145162491434,-118.27705565763583,30
2025-07-27 18:13:15.899482,Vehicle_2,2025,97,0.7629003592665304,P0401,34.04380188380917,-118.23004808362968,32
2025-07-27 18:13:25.899482,Vehicle_3,2066,100,0.9070645414057301,,34.0

6551671291603,-118.2783150898919,35
2025-07-27 18:13:35.899482,Vehicle_4,2965,87,4.1594057020124655,P0455,34.02737413887911,-118.26086301821499,34
2025-07-27 18:13:45.899482,Vehicle_5,2119,104,1.96768618955066,,34.01315387531773,-118.25420169496745,33
2025-07-27 18:13:55.899482,Vehicle_6,2838,99,-4.71916003135759,,34.08909720590405,-118.25802149822873,28
2025-07-27 18:14:05.899482,Vehicle_7,812,101,1.796826558428819,,34.01843940996469,-118.24997176620269,33
2025-07-27 18:14:15.899482,Vehicle_8,1266,88,-4.39701566955697,P0301,34.0980537594191,-118.224071918793,33
2025-07-27 18:14:25.899482,Vehicle_9,2799,89,-0.6379380377787971,P0442,34.013177216452014,-118.29636894760999,31
2025-07-27 18:14:35.899482,Vehicle_10,2586,88,1.030599396319002,,34.08852585038797,-118.22341171941183,33
2025-07-27 18:14:45.899482,Vehicle_1,3666,98,-0.8125874636384722,,34.04225972630928,-118.24708389927122,33
2025-07-27 18:14:55.899482,Vehicle_2,2906,84,4.6577451981964835,P0135,34.02206583922986,-118.28678574407367,33
2025-07-27 18:15:05.899482,Vehicle_3,2506,82,4.634327308535955,,34.08318882981129,-118.2114229618605,35
2025-07-27 18:15:15.899482,Vehicle_4,1227,82,3.1881759706594597,,34.02445685981775,-118.27734193279751,32
2025-07-27 18:15:25.899482,Vehicle_5,1829,87,0.18533766063011115,,34.003079193849885,-118.22855797011223,30
2025-07-27 18:15:35.899482,Vehicle_6,1530,105,2.0670856732455185,,34.072474386001666,-118.25766966998803,34
2025-07-27 18:15:45.899482,Vehicle_7,3988,91,-2.0716388740703353,P0420,34.0545080594483,-118.2713154286587,34
2025-07-27 18:15:55.899482,Vehicle_8,3217,82,-1.7578524510545601,,34.03740909424345,-118.28612254717711,31
